level,metric,threshold,fail_ratio_%,fail_count,total,max,p99.9,p99,mean,max/threshold,verdict
pixel,R_difference,133.0,0.000000,0,24576,121.000,121.000,121.000,4.2799,0.910,PASS
pixel,G_difference,75.0,0.911458,224,24576,91.000,91.000,41.000,2.6119,1.213,FAIL
pixel,B_difference,140.0,0.000000,0,24576,121.000,121.000,121.000,4.2032,0.864,PASS
pixel,Y_difference,75.0,0.911458,224,24576,90.316,89.974,24.480,2.5607,1.204,FAIL
pixel,L1_difference,220.0,0.911458,224,24576,267.000,265.000,43.000,5.2641,1.214,FAIL
pixel,R_variance,2500.0,2.083333,512,24576,3660.250,3640.222,3600.222,85.4636,1.464,FAIL
pixel,G_variance,1150.0,0.024414,6,24576,1150.139,1140.250,413.556,18.8051,1.000,FAIL
pixel,B_variance,1750.0,2.083333,512,24576,3660.250,3640.222,3600.222,83.6018,2.092,FAIL
pixel,Y_variance,1200.0,0.000000,0,24576,1123.616,1115.423,143.807,15.5664,0.936,PASS
pixel,L1_variance,9000.0,0.911458,224,24576,9827.889,9680.142,427.556,95.5166,1.092,FAIL
block,R_difference,43.0,2.994792,184,6144,121.000,120.750,120.500,3.9224,2.814,FAIL
block,G_difference,30.0,2.994792,184,6144,91.000,90.714,40.750,2.2574,3.033,FAIL
block,B_difference,40.0,2.994792,184,6144,121.000,120.750,120.500,3.8419,3.025,FAIL
block,Y_difference,25.0,0.911458,56,6144,89.906,89.625,24.075,2.1797,3.596,FAIL
block,L1_difference,70.0,0.911458,56,6144,265.750,264.250,41.643,4.2871,3.796,FAIL
block,R_variance,240.0,2.994792,184,6144,3630.139,3615.129,3600.112,85.3073,15.126,FAIL
block,G_variance,200.0,2.994792,184,6144,1138.884,1132.613,406.018,18.6497,5.694,FAIL
block,B_variance,360.0,2.994792,184,6144,3630.083,3620.052,3600.018,83.4452,10.084,FAIL
block,Y_variance,115.0,5.078125,312,6144,1116.730,1109.980,140.484,15.4969,9.711,FAIL
block,L1_variance,1200.0,0.911458,56,6144,9757.308,9663.312,413.666,95.0494,8.131,FAIL
