sequence,level,metric,threshold,fail_ratio_%,fail_count,total,max,p99.9,p99,mean,max/threshold,verdict
S1_small_alt,pixel,R_difference,25.0,0.103781,2152,2073600,141.000,29.000,1.000,1.0542,5.640,FAIL
S1_small_alt,pixel,G_difference,75.0,0.050251,1042,2073600,141.000,26.000,1.000,1.0493,1.880,FAIL
S1_small_alt,pixel,B_difference,140.0,0.000965,20,2073600,141.000,31.000,1.000,1.0573,1.007,FAIL
S1_small_alt,pixel,Y_difference,75.0,0.035253,731,2073600,141.000,30.257,1.000,0.8949,1.880,FAIL
S1_small_alt,pixel,L1_difference,220.0,0.032118,666,2073600,423.000,95.000,3.000,2.3254,1.923,FAIL
S1_small_alt,pixel,R_variance,2500.0,0.034047,706,2073600,4946.889,196.222,0.250,2.1903,1.979,FAIL
S1_small_alt,pixel,G_variance,1150.0,0.059221,1228,2073600,4946.889,164.806,0.250,2.0115,4.302,FAIL
S1_small_alt,pixel,B_variance,1750.0,0.052710,1093,2073600,4946.889,230.250,0.250,2.2429,2.827,FAIL
S1_small_alt,pixel,Y_variance,1200.0,0.039255,814,2073600,4927.847,221.588,0.197,1.5251,4.107,FAIL
S1_small_alt,pixel,L1_variance,9000.0,0.039834,826,2073600,44311.582,2194.050,1.583,13.0303,4.924,FAIL
S1_small_alt,block,R_difference,43.0,0.080054,415,518400,140.500,34.250,1.000,0.6925,3.267,FAIL
S1_small_alt,block,G_difference,30.0,0.103781,538,518400,140.750,31.900,1.000,0.6876,4.692,FAIL
S1_small_alt,block,B_difference,40.0,0.089313,463,518400,140.750,33.750,1.000,0.6959,3.519,FAIL
S1_small_alt,block,Y_difference,25.0,0.114005,591,518400,140.469,28.129,0.768,0.5064,5.619,FAIL
S1_small_alt,block,L1_difference,70.0,0.118441,614,518400,421.000,81.750,2.000,1.3367,6.014,FAIL
S1_small_alt,block,R_variance,240.0,0.108410,562,518400,4923.389,286.218,0.139,1.4354,20.514,FAIL
S1_small_alt,block,G_variance,200.0,0.110340,572,518400,4900.083,246.537,0.139,1.3083,24.500,FAIL
S1_small_alt,block,B_variance,360.0,0.090471,469,518400,4917.550,277.288,0.139,1.4693,13.660,FAIL
S1_small_alt,block,Y_variance,115.0,0.126929,658,518400,4897.628,195.295,0.069,1.0116,42.588,FAIL
S1_small_alt,block,L1_variance,1200.0,0.119213,618,518400,44065.246,1645.752,0.488,8.6973,36.721,FAIL
S2_small_mixed,pixel,R_difference,25.0,0.124952,2591,2073600,141.000,47.000,1.000,1.0668,5.640,FAIL
S2_small_mixed,pixel,G_difference,75.0,0.029128,604,2073600,141.000,1.000,1.000,1.0202,1.880,FAIL
S2_small_mixed,pixel,B_difference,140.0,0.000772,16,2073600,141.000,45.000,1.000,1.0680,1.007,FAIL
S2_small_mixed,pixel,Y_difference,75.0,0.018808,390,2073600,133.000,20.420,1.000,0.8718,1.773,FAIL
S2_small_mixed,pixel,L1_difference,220.0,0.018036,374,2073600,399.000,57.000,3.000,2.2238,1.814,FAIL
S2_small_mixed,pixel,R_variance,2500.0,0.032263,669,2073600,4946.889,379.252,0.250,2.2809,1.979,FAIL
S2_small_mixed,pixel,G_variance,1150.0,0.029755,617,2073600,4900.222,0.250,0.250,1.1355,4.261,FAIL
S2_small_mixed,pixel,B_variance,1750.0,0.049576,1028,2073600,4946.889,400.222,0.250,2.3202,2.827,FAIL
S2_small_mixed,pixel,Y_variance,1200.0,0.020399,423,2073600,4395.172,82.559,0.196,0.8301,3.663,FAIL
S2_small_mixed,pixel,L1_variance,9000.0,0.018277,379,2073600,39469.332,481.434,1.583,6.4632,4.385,FAIL
S2_small_mixed,block,R_difference,43.0,0.086806,450,518400,140.750,37.750,1.000,0.7054,3.273,FAIL
S2_small_mixed,block,G_difference,30.0,0.066551,345,518400,136.750,18.250,1.000,0.6589,4.558,FAIL
S2_small_mixed,block,B_difference,40.0,0.093750,486,518400,140.500,38.500,1.000,0.7065,3.513,FAIL
S2_small_mixed,block,Y_difference,25.0,0.072531,376,518400,132.379,19.590,0.768,0.4834,5.295,FAIL
S2_small_mixed,block,L1_difference,70.0,0.070602,366,518400,397.250,54.500,2.000,1.2353,5.675,FAIL
S2_small_mixed,block,R_variance,240.0,0.115934,601,518400,4935.083,317.955,0.139,1.5465,20.563,FAIL
S2_small_mixed,block,G_variance,200.0,0.059992,311,518400,4658.125,55.224,0.139,0.7062,23.291,FAIL
S2_small_mixed,block,B_variance,360.0,0.096065,498,518400,4917.530,328.520,0.139,1.5537,13.660,FAIL
S2_small_mixed,block,Y_variance,115.0,0.083526,433,518400,4360.688,79.758,0.068,0.5439,37.919,FAIL
S2_small_mixed,block,L1_variance,1200.0,0.062307,323,518400,39270.285,592.366,0.474,4.2635,32.725,FAIL
